species;island;culmen_length_mm;culmen_depth_mm;flipper_length_mm;body_mass_g;sex
3.0;2.0;0.473;0.155;0.644;0.472;2.0;
3.0;2.0;0.604;0.119;0.644;0.486;2.0;
3.0;2.0;0.48;0.083;0.61;0.417;2.0;
3.0;2.0;0.665;0.262;0.881;0.792;1.0;
3.0;2.0;0.407;0.107;0.61;0.521;2.0;
3.0;2.0;0.535;0.143;0.729;0.597;2.0;
3.0;2.0;0.531;0.262;0.797;0.694;1.0;
3.0;2.0;0.618;0.167;0.678;0.535;2.0;
3.0;2.0;0.524;0.167;0.695;0.472;2.0;
3.0;2.0;0.633;0.357;0.881;0.819;1.0;
3.0;2.0;0.487;0.071;0.712;0.542;2.0;
3.0;2.0;0.651;0.262;0.814;0.792;1.0;
3.0;2.0;0.535;0.357;0.729;0.778;1.0;
3.0;2.0;0.56;0.131;0.627;0.528;2.0;
3.0;2.0;0.56;0.107;0.678;0.604;2.0;
3.0;2.0;0.509;0.238;0.729;0.667;1.0;
3.0;2.0;0.404;0.167;0.61;0.486;2.0;
3.0;2.0;0.487;0.167;0.678;0.569;2.0;
3.0;2.0;0.524;0.202;0.763;0.694;2.0;
