species;island;culmen_length_mm;culmen_depth_mm;flipper_length_mm;body_mass_g;sex
3.0;2.0;45.1;14.5;207.0;0.653;2.0;
3.0;2.0;59.6;17.0;230.0;0.931;1.0;
3.0;2.0;49.1;14.8;220.0;0.681;2.0;
3.0;2.0;48.4;16.3;220.0;0.75;1.0;
3.0;2.0;42.6;13.7;213.0;0.625;2.0;
3.0;2.0;44.4;17.3;219.0;0.708;1.0;
3.0;2.0;44.0;13.6;208.0;0.458;2.0;
3.0;2.0;48.7;15.7;208.0;0.736;1.0;
3.0;2.0;42.7;13.7;208.0;0.347;2.0;
3.0;2.0;49.6;16.0;225.0;0.833;1.0;
3.0;2.0;45.3;13.7;210.0;0.444;2.0;
3.0;2.0;49.6;15.0;216.0;0.569;1.0;
3.0;2.0;50.5;15.9;222.0;0.792;1.0;
3.0;2.0;43.6;13.9;217.0;0.611;2.0;
3.0;2.0;45.5;13.9;210.0;0.417;2.0;
3.0;2.0;50.5;15.9;225.0;0.75;1.0;
3.0;2.0;44.9;13.3;213.0;0.667;2.0;
3.0;2.0;45.2;15.8;215.0;0.722;1.0;
3.0;2.0;46.6;14.2;210.0;0.597;2.0;
3.0;2.0;48.5;14.1;220.0;0.722;1.0;
3.0;2.0;45.1;14.4;210.0;0.472;2.0;
3.0;2.0;50.1;15.0;225.0;0.639;1.0;
3.0;2.0;46.5;14.4;217.0;0.611;2.0;
3.0;2.0;45.0;15.4;220.0;0.653;1.0;
3.0;2.0;43.8;13.9;208.0;0.444;2.0;
3.0;2.0;45.5;15.0;220.0;0.639;1.0;
3.0;2.0;43.2;14.5;208.0;0.486;2.0;
3.0;2.0;50.4;15.3;224.0;0.792;1.0;
3.0;2.0;45.3;13.8;208.0;0.417;2.0;
3.0;2.0;46.2;14.9;221.0;0.722;1.0;
3.0;2.0;45.7;13.9;214.0;0.472;2.0;
3.0;2.0;54.3;15.7;231.0;0.819;1.0;
3.0;2.0;45.8;14.2;219.0;0.556;2.0;
3.0;2.0;49.8;16.8;230.0;0.833;1.0;
3.0;2.0;49.5;16.2;229.0;0.861;1.0;
3.0;2.0;43.5;14.2;220.0;0.556;2.0;
3.0;2.0;50.7;15.0;223.0;0.792;1.0;
3.0;2.0;47.7;15.0;216.0;0.569;2.0;
3.0;2.0;46.4;15.6;221.0;0.639;1.0;
3.0;2.0;48.2;15.6;221.0;0.667;1.0;
3.0;2.0;46.5;14.8;217.0;0.694;2.0;
3.0;2.0;46.4;15.0;216.0;0.556;2.0;
3.0;2.0;48.6;16.0;230.0;0.861;1.0;
3.0;2.0;47.5;14.2;209.0;0.528;2.0;
3.0;2.0;51.1;16.3;220.0;0.917;1.0;
3.0;2.0;45.2;13.8;215.0;0.569;2.0;
3.0;2.0;45.2;16.4;223.0;0.903;1.0;
3.0;2.0;49.1;14.5;212.0;0.535;2.0;
3.0;2.0;52.5;15.6;221.0;0.764;1.0;
3.0;2.0;47.4;14.6;212.0;0.562;2.0;
3.0;2.0;50.0;15.9;224.0;0.736;1.0;
3.0;2.0;44.9;13.8;212.0;0.569;2.0;
3.0;2.0;50.8;17.3;228.0;0.806;1.0;
3.0;2.0;43.4;14.4;218.0;0.528;2.0;
3.0;2.0;51.3;14.2;218.0;0.722;1.0;
3.0;2.0;47.5;14.0;212.0;0.604;2.0;
3.0;2.0;52.1;17.0;230.0;0.792;1.0;
3.0;2.0;47.5;15.0;218.0;0.625;2.0;
3.0;2.0;52.2;17.1;228.0;0.75;1.0;
3.0;2.0;45.5;14.5;212.0;0.569;2.0;
3.0;2.0;49.5;16.1;224.0;0.819;1.0;
3.0;2.0;44.5;14.7;214.0;0.597;2.0;
3.0;2.0;50.8;15.7;226.0;0.694;1.0;
3.0;2.0;49.4;15.8;216.0;0.618;1.0;
3.0;2.0;46.9;14.6;222.0;0.604;2.0;
3.0;2.0;48.4;14.4;203.0;0.535;2.0;
3.0;2.0;51.1;16.5;225.0;0.708;1.0;
3.0;2.0;48.5;15.0;219.0;0.597;2.0;
3.0;2.0;55.9;17.0;228.0;0.806;1.0;
3.0;2.0;47.2;15.5;215.0;0.632;2.0;
3.0;2.0;49.1;15.0;228.0;0.778;1.0;
3.0;2.0;46.8;16.1;215.0;0.778;1.0;
3.0;2.0;41.7;14.7;210.0;0.556;2.0;
3.0;2.0;53.4;15.8;219.0;0.778;1.0;
3.0;2.0;43.3;14.0;208.0;0.521;2.0;
3.0;2.0;48.1;15.1;209.0;0.778;1.0;
3.0;2.0;50.5;15.2;216.0;0.639;2.0;
3.0;2.0;49.8;15.9;229.0;0.903;1.0;
3.0;2.0;43.5;15.2;213.0;0.542;2.0;
3.0;2.0;51.5;16.3;230.0;0.778;1.0;
3.0;2.0;46.2;14.1;217.0;0.465;2.0;
3.0;2.0;55.1;16.0;230.0;0.875;1.0;
3.0;2.0;48.8;16.2;222.0;0.917;1.0;
3.0;2.0;47.2;13.7;214.0;0.618;2.0;
3.0;2.0;46.8;14.3;215.0;0.597;2.0;
3.0;2.0;50.4;15.7;222.0;0.847;1.0;
3.0;2.0;45.2;14.8;212.0;0.694;2.0;
3.0;2.0;49.9;16.1;213.0;0.75;1.0;
