species;island;culmen_length_mm;culmen_depth_mm;flipper_length_mm;body_mass_g;sex
2.0;3.0;51.0;18.8;203.0;4100.0;1.0;
2.0;3.0;54.2;20.8;201.0;4300.0;1.0;
2.0;3.0;49.8;17.3;198.0;3675.0;2.0;
2.0;3.0;40.9;16.6;187.0;3200.0;2.0;
2.0;3.0;53.5;19.9;205.0;4500.0;1.0;
2.0;3.0;47.6;18.3;195.0;3850.0;2.0;
2.0;3.0;52.0;20.7;210.0;4800.0;1.0;
2.0;3.0;50.2;18.8;202.0;3800.0;1.0;
2.0;3.0;51.4;19.0;201.0;3950.0;1.0;
2.0;3.0;50.2;18.7;198.0;3775.0;2.0;
2.0;3.0;46.5;17.9;192.0;3500.0;2.0;
2.0;3.0;46.9;16.6;192.0;2700.0;2.0;
2.0;3.0;50.5;19.6;201.0;4050.0;1.0;
2.0;3.0;52.0;19.0;197.0;4150.0;1.0;
3.0;2.0;50.0;15.3;220.0;5550.0;1.0;
3.0;2.0;48.6;16.0;230.0;5800.0;1.0;
3.0;2.0;45.5;13.7;214.0;4650.0;2.0;
3.0;2.0;46.5;14.4;217.0;4900.0;2.0;
3.0;2.0;53.4;15.8;219.0;5500.0;1.0;
3.0;2.0;48.5;15.0;219.0;4850.0;2.0;
3.0;2.0;45.5;13.9;210.0;4200.0;2.0;
3.0;2.0;50.1;15.0;225.0;5000.0;1.0;
3.0;2.0;50.0;16.3;230.0;5700.0;1.0;
3.0;2.0;46.1;15.1;215.0;5100.0;1.0;
3.0;2.0;43.4;14.4;218.0;4600.0;2.0;
3.0;2.0;48.7;15.7;208.0;5350.0;1.0;
3.0;2.0;50.5;15.9;225.0;5400.0;1.0;
3.0;2.0;47.8;15.0;215.0;5650.0;1.0;
3.0;2.0;45.0;15.4;220.0;5050.0;1.0;
3.0;2.0;46.3;15.8;215.0;5050.0;1.0;
3.0;2.0;48.1;15.1;209.0;5500.0;1.0;
3.0;2.0;48.7;14.1;210.0;4450.0;2.0;
3.0;2.0;50.7;15.0;223.0;5550.0;1.0;
3.0;2.0;42.7;13.7;208.0;3950.0;2.0;
3.0;2.0;49.6;15.0;216.0;4750.0;1.0;
3.0;2.0;45.7;13.9;214.0;4400.0;2.0;
3.0;2.0;46.4;15.6;221.0;5000.0;1.0;
3.0;2.0;45.2;15.8;215.0;5300.0;1.0;
3.0;2.0;45.2;14.8;212.0;5200.0;2.0;
3.0;2.0;54.3;15.7;231.0;5650.0;1.0;
3.0;2.0;46.2;14.5;209.0;4800.0;2.0;
3.0;2.0;47.4;14.6;212.0;4725.0;2.0;
3.0;2.0;47.5;15.0;218.0;4950.0;2.0;
3.0;2.0;51.1;16.5;225.0;5250.0;1.0;
3.0;2.0;46.5;13.5;210.0;4550.0;2.0;
3.0;2.0;48.2;15.6;221.0;5100.0;1.0;
3.0;2.0;45.1;14.4;210.0;4400.0;2.0;
3.0;2.0;50.4;15.7;222.0;5750.0;1.0;
3.0;2.0;45.5;15.0;220.0;5000.0;1.0;
