species;island;culmen_length_mm;culmen_depth_mm;flipper_length_mm;body_mass_g;sex
3.0;2.0;45.8;14.6;0.644;0.417;2.0;
3.0;2.0;49.5;16.1;0.881;0.819;1.0;
3.0;2.0;45.2;16.4;0.864;0.903;1.0;
3.0;2.0;49.8;15.9;0.966;0.903;1.0;
3.0;2.0;45.0;15.4;0.814;0.653;1.0;
3.0;2.0;46.2;14.5;0.627;0.583;2.0;
3.0;2.0;44.5;14.7;0.712;0.597;2.0;
3.0;2.0;48.8;16.2;0.847;0.917;1.0;
3.0;2.0;53.4;15.8;0.797;0.778;1.0;
3.0;2.0;47.2;13.7;0.712;0.618;2.0;
3.0;2.0;43.6;13.9;0.763;0.611;2.0;
3.0;2.0;46.4;15.6;0.831;0.639;1.0;
3.0;2.0;51.1;16.3;0.814;0.917;1.0;
3.0;2.0;44.0;13.6;0.61;0.458;2.0;
3.0;2.0;49.8;16.8;0.983;0.833;1.0;
3.0;2.0;46.8;15.4;0.729;0.681;1.0;
3.0;2.0;45.7;13.9;0.712;0.472;2.0;
3.0;2.0;46.5;14.5;0.695;0.472;2.0;
3.0;2.0;50.4;15.7;0.847;0.847;1.0;
3.0;2.0;45.2;14.8;0.678;0.694;2.0;
3.0;2.0;48.7;15.7;0.61;0.736;1.0;
3.0;2.0;49.9;16.1;0.695;0.75;1.0;
3.0;2.0;47.5;14.2;0.627;0.528;2.0;
3.0;2.0;48.2;14.3;0.644;0.528;2.0;
3.0;2.0;45.5;13.9;0.644;0.417;2.0;
3.0;2.0;55.9;17.0;0.949;0.806;1.0;
3.0;2.0;50.5;15.9;0.847;0.792;1.0;
3.0;2.0;43.2;14.5;0.61;0.486;2.0;
3.0;2.0;49.4;15.8;0.746;0.618;1.0;
3.0;2.0;45.1;14.4;0.644;0.472;2.0;
3.0;2.0;45.5;15.0;0.814;0.639;1.0;
3.0;2.0;46.8;16.1;0.729;0.778;1.0;
3.0;2.0;50.0;15.9;0.881;0.736;1.0;
3.0;2.0;48.4;14.6;0.695;0.875;1.0;
3.0;2.0;50.7;15.0;0.864;0.792;1.0;
3.0;2.0;46.4;15.0;0.746;0.556;2.0;
3.0;2.0;45.1;14.5;0.729;0.639;2.0;
3.0;2.0;42.7;13.7;0.61;0.347;2.0;
3.0;2.0;52.5;15.6;0.831;0.764;1.0;
3.0;2.0;51.3;14.2;0.78;0.722;1.0;
3.0;2.0;49.5;16.2;0.966;0.861;1.0;
3.0;2.0;45.5;14.5;0.678;0.569;2.0;
3.0;2.0;45.5;13.7;0.712;0.542;2.0;
3.0;2.0;48.5;15.0;0.797;0.597;2.0;
3.0;2.0;45.1;14.5;0.593;0.653;2.0;
3.0;2.0;50.0;15.2;0.78;0.833;1.0;
3.0;2.0;45.3;13.7;0.644;0.444;2.0;
3.0;2.0;50.8;15.7;0.915;0.694;1.0;
3.0;2.0;40.9;13.7;0.712;0.542;2.0;
3.0;2.0;50.0;16.3;0.983;0.833;1.0;
3.0;2.0;49.6;16.0;0.898;0.833;1.0;
3.0;2.0;46.3;15.8;0.729;0.653;1.0;
3.0;2.0;50.4;15.3;0.881;0.792;1.0;
3.0;2.0;46.6;14.2;0.644;0.597;2.0;
3.0;2.0;51.1;16.5;0.898;0.708;1.0;
3.0;2.0;43.3;13.4;0.627;0.472;2.0;
3.0;2.0;43.3;14.0;0.61;0.521;2.0;
3.0;2.0;47.7;15.0;0.746;0.569;2.0;
3.0;2.0;42.9;13.1;0.729;0.639;2.0;
3.0;2.0;50.1;15.0;0.898;0.639;1.0;
3.0;2.0;47.5;14.0;0.678;0.604;2.0;
3.0;2.0;43.4;14.4;0.78;0.528;2.0;
3.0;2.0;50.5;15.2;0.746;0.639;2.0;
3.0;2.0;48.6;16.0;0.983;0.861;1.0;
3.0;2.0;49.1;14.5;0.678;0.535;2.0;
3.0;2.0;45.2;13.8;0.729;0.569;2.0;
3.0;2.0;55.1;16.0;0.983;0.875;1.0;
3.0;2.0;47.8;15.0;0.729;0.819;1.0;
3.0;2.0;52.2;17.1;0.949;0.75;1.0;
3.0;2.0;47.4;14.6;0.678;0.562;2.0;
3.0;2.0;46.1;15.1;0.729;0.667;1.0;
3.0;2.0;49.0;16.1;0.746;0.792;1.0;
